Source DB,Target,Topic,Severity Level,Action Code,Action Message,Action Item,PostgreSQL Documentation Hyperlink / Amazon Services Hyperlink,Aurora PostgreSQL Documentation Hyperlink / Amazon Services Hiperlink,Estimated time to manual resolve h
MySQL,Postgres,CONTROL FLOW,0,8857,Automatic conversion for replication commands is not supported,Perform a manual conversion.,,,16
MySQL,Postgres,CONTROL FLOW,3,8856,The information of the server processes is different on different servers,Check your conversion result.,,,2
MySQL,Postgres,EVENTS,0,8855,Automatic conversion of EVENT syntax is not supported,Perform a manual conversion.,,,16
MySQL,Postgres,BUILT-IN SQL FUNCTIONS,0,8854,PostgreSQL doesn't support the %s function with parameters,Perform a manual conversion.,,,8
MySQL,Postgres,CONTROL FLOW,3,8853,You have to perform a manual conversion if SLEEP() function is using with other expressions,Perform a manual conversion.,,,2
MySQL,Postgres,BUILT-IN SQL FUNCTIONS,0,8851,PostgreSQL doesn't support to use the aggregate functions with other fields without GROUP BY clause,Perform a manual conversion.,,,2
MySQL,Postgres,BUILT-IN SQL FUNCTIONS,3,8850,The some parameter's values for the function %s aren't supported. Check it after the conversion,You need to check the result of the conversion.,,,1
MySQL,Postgres,BUILT-IN SQL FUNCTIONS,0,8849,PostgreSQL doesn't support the %s function with parameters values %s,Create a user-defined function.,,,8
MySQL,Postgres,DATATYPES,3,8848,In MySQL BOOLEAN type is a synonym for TINYINT,Check it when you insert data from a BOOLEAN variables into the database.,,,1
MySQL,Postgres,CONTROL FLOW,3,8847,PostgreSQL doesn't be able to return into call point after the error handling. Check your error handling logic,Perform a manual conversion.,,,8
MySQL,Postgres,CONTROL FLOW,1,8846,PostgreSQL doesn't support the statement option %s,Perform a manual conversion.,,,4
MySQL,Postgres,CONTROL FLOW,1,8845,"Rows count functionality is not supported behind the ""open cursor"" statement",Perform a manual conversion.,,,4
MySQL,Postgres,CONTROL FLOW,3,8844,Error codes are not the same. You need to check the result of the conversion,You need to check the result of the conversion.,,,4
MySQL,Postgres,DML,3,8843,PostgreSQL doesn't support clause SQL_CALC_FOUND_ROWS,Use DML statement without this option.,,,4
MySQL,Postgres,DML,3,8842,PostgreSQL doesn't support clause SQL_NO_CACHE ,.,,,4
MySQL,Postgres,DML,3,8841,PostgreSQL doesn't support clause SQL_CACHE ,Use DML statement without this option.,,,4
MySQL,Postgres,DML,3,8840,PostgreSQL doesn't support clause SQL_BUFFER_RESULT ,Use DML statement without this option.,,,4
