Standard,db.m5.24xlarge,96,384,"19,000"
Standard,db.m5.16xlarge,64,256,"13,600"
Standard,db.m5.12xlarge,48,192,"9,500"
Standard,db.m5.8xlarge,32,128,"6,800"
Standard,db.m5.4xlarge,16,64,"4,750"
Standard,db.m5.2xlarge*,8,32,"Up to 4,750"
Standard,db.m5.xlarge*,4,16,"Up to 4,750"
Standard,db.m5.large*,2,8,"Up to 4,750"
Memory,db.r5.large,1,16,"up to 4,750"
Memory,db.r5.xlarge,2,32,"up to 4,750"
Memory,db.r5.2xlarge,4,64,"up to 4,750"
Memory,db.r5.4xlarge,8,128,"4,750"
Memory,db.r5.8xlarge,16,256,"6,800"
Memory,db.r5.12xlarge,24,384,"9,500"
Memory,db.r5.16xlarge,32,512,"13,600"
Memory,db.r5.24xlarge,48,768,"19,000"
