source,target,actioncode,hours,Feature,Exceptionsyntax
ORACLE,POSTGRESQL,5024,2,INSERT,INSERT with partition_extension_clause
ORACLE,POSTGRESQL,5025,4,This syntactic element conversion is not supported yet,This syntactic element conversion is not supported yet
ORACLE,POSTGRESQL,5027,0.01,PACKAGES,No Package Body on Spec
ORACLE,POSTGRESQL,5028,4,DATATYPES,Check for Subject it is generic from all Collection\subtypes\varchar30000\nativeORACLEpackages
ORACLE,POSTGRESQL,5029,2,DATATYPES,check for Subject it is generic from all Collection\subtypes\bfile\nativeORACLEpackages
ORACLE,POSTGRESQL,5030,2,DATATYPES,Collection Types
ORACLE,POSTGRESQL,5031,2,SELECT,Cursor expression
ORACLE,POSTGRESQL,5032,2,TYPES,Incomplete user-defined datatype
ORACLE,POSTGRESQL,5034,0.5,TRANSACTION CONTROL IS ONLY POSSIBLE FROM THE TOP LEVEL,
ORACLE,POSTGRESQL,5035,0.5,TRANSACTIONAL,WITHIN EXCEPTIONS
ORACLE,POSTGRESQL,5036,0.5,TRANSACTIONAL,CALL STACK
ORACLE,POSTGRESQL,5062,1,TYPES,CONSTRUCTOR
ORACLE,POSTGRESQL,5063,1,DEFAULT,PACKAGE VARIABLES
ORACLE,POSTGRESQL,5064,1,UPDATE,ERROR LOG
ORACLE,POSTGRESQL,5065,0.5,UPDATE,QUERY
ORACLE,POSTGRESQL,5067,0.5,DELETE,ERROR LOG
ORACLE,POSTGRESQL,5068,2,DELETE,QUERY
ORACLE,POSTGRESQL,5070,1,INSERT,ERROR LOG
ORACLE,POSTGRESQL,5071,1,INSERT,QUERY
ORACLE,POSTGRESQL,5075,0.1,VIEW,WITH READ ONLY
ORACLE,POSTGRESQL,5077,1,VIEW,PIVOT clause
ORACLE,POSTGRESQL,5081,1,DYNAMIC SQL PARAMETER DEPENDENCY,
ORACLE,POSTGRESQL,5087,1,DYNAMIC SQL,RETURNING BULK COLLECT INTO
ORACLE,POSTGRESQL,5088,1,DYNAMIC SQL,BULK COLLECT
ORACLE,POSTGRESQL,5090,1.5,INSERT,SUBPARTITION
ORACLE,POSTGRESQL,5093,2,MATERIALIZED VIEW,CREATE
ORACLE,POSTGRESQL,5094,1,MATERIALIZED VIEW,CREATE
ORACLE,POSTGRESQL,5095,8,MATERIALIZED VIEW,USING MATERIALIZED VIEW
ORACLE,POSTGRESQL,5098,8,DELETE,PARTITION
ORACLE,POSTGRESQL,5099,1,CREATE,
ORACLE,POSTGRESQL,5102,2,MERGE,MERGE
ORACLE,POSTGRESQL,5103,0.01,Optimizer Hints,HINT
ORACLE,POSTGRESQL,5117,2,Implicit cursor,BULK_ROWCOUNT-BULK_EXCEPTIONS
ORACLE,POSTGRESQL,5118,2,UDT collection-type arguments,TYPE .. IS TABLE OF� INDEX BY �
ORACLE,POSTGRESQL,5120,4,UDT collection-type arguments,:= collection_type(...)
ORACLE,POSTGRESQL,5121,8,UDT collection-type arguments,FORALL
ORACLE,POSTGRESQL,5126,8,SELECT,MODEL
ORACLE,POSTGRESQL,5139,2,SELECT ,FOR UPDATE SKIP LOCKED 
ORACLE,POSTGRESQL,5140,2,SELECT ,BULK COLLECT INTO 
ORACLE,POSTGRESQL,5144,2,SELECT ,FOR UPDATE WAIT
ORACLE,POSTGRESQL,5196,4,CREATE TABLE,CREATING OBJECT TABLES
ORACLE,POSTGRESQL,5198,8,CREATE TABLE, CREATING GLOBAL TEMPORARY TABLE 
ORACLE,POSTGRESQL,5199,8,CREATE TABLE,CREATING CLUSTERED TABLE
ORACLE,POSTGRESQL,5200,4,CREATE TABLE,CREATING EXTERNAL TABLES
ORACLE,POSTGRESQL,5201,2,CREATE TABLE,CREATING A PARTITIONED TABLE
ORACLE,POSTGRESQL,5206,2,CREATE INDEX, Creating an BITMAP  Index
ORACLE,POSTGRESQL,5208,8,CREATE INDEX,Creating a Domain  Index
ORACLE,POSTGRESQL,5212,8,CREATE TABLE,BFILE Data Type
ORACLE,POSTGRESQL,5213,0.5,CREATE TABLE, TIMESTAMP(n>6)  Data Type
ORACLE,POSTGRESQL,5225,0.1,CURSOR,TYPE .. IS REF CURSOR
ORACLE,POSTGRESQL,5226,1,CURSOR,TYPE .. IS REF CURSOR
ORACLE,POSTGRESQL,5238,1,TRIGGERS,REFERENCING NEW AS .. OLD AS ..
ORACLE,POSTGRESQL,5240,2,TRIGGERS,ON NESTED TABLE
ORACLE,POSTGRESQL,5241,2,TRIGGERS,FOLLOWS | PRECEDES
ORACLE,POSTGRESQL,5242,4,TRIGGERS,COMPOUND TRIGGER
ORACLE,POSTGRESQL,5243,0.5,TRIGGERS,TRIGGER owned by another schema
ORACLE,POSTGRESQL,5245,2,VIEW,CAST (MULTISET(
ORACLE,POSTGRESQL,5271,4,BUILT-IN SQL FUNCTIONS,GREATEST
ORACLE,POSTGRESQL,5272,4,BUILT-IN SQL FUNCTIONS,LEAST
ORACLE,POSTGRESQL,5293,0.1,Parser Error,Parser Error
ORACLE,POSTGRESQL,5298,0.2,TRUNCATE TABLE,DROP STORAGE
ORACLE,POSTGRESQL,5299,0.01,TRUNCATE TABLE,REUSE STORAGE
ORACLE,POSTGRESQL,5300,0.2,TRUNCATE TABLE,PRESERVE MATERIALIZED VIEW LOG
ORACLE,POSTGRESQL,5301,0.2,TRUNCATE TABLE,PURGE MATERIALIZED VIEW LOG
ORACLE,POSTGRESQL,5306,8,TRIGGERS,status=invalid
ORACLE,POSTGRESQL,5311,160,TRIGGERS,base-object-type=SCHEMA
ORACLE,POSTGRESQL,5313,160,TRIGGERS,action-type=CALL or PL/SQL
ORACLE,POSTGRESQL,5317,40,TRIGGERS,referencing-names=PARENT
ORACLE,POSTGRESQL,5320,2,VIEW,STATUS=INVALID
ORACLE,POSTGRESQL,5321,8,VIEW,OID_TEXT IS NOT NULL
ORACLE,POSTGRESQL,5322,8,VIEW,VIEW_TYPE_OWNER IS NOT NULL
ORACLE,POSTGRESQL,5326,0.2,CREATE CONSTRAINT ,status=DISABLED
ORACLE,POSTGRESQL,5330,40,PACKAGES,Package global cursor
ORACLE,POSTGRESQL,5332,8,CREATE,
ORACLE,POSTGRESQL,5333,0.01,Synonym,private synonym
ORACLE,POSTGRESQL,5334,2,DYNAMIC SQL,EXECUTE IMMEDIATE
ORACLE,POSTGRESQL,5335,8,Statements,GOTO
ORACLE,POSTGRESQL,5339,8,Universal,Universal Action Item
ORACLE,POSTGRESQL,5340,2, BUILT-IN SQL FUNCTIONS,FUNCTION
ORACLE,POSTGRESQL,5348,8,CREATE TABLE,NESTED TABLE
ORACLE,POSTGRESQL,5350,0.5,Transaction control,COMMIT\ROLLBACK
ORACLE,POSTGRESQL,5351,1,Unknown - dual,Unknown Object
ORACLE,POSTGRESQL,5352,0.01,SYNONYMS,CREATE
